human_gene_symbol	human_chromosome	entity_type	category	parent	consensus_score	is_cs	database_cs	is_tf	database_tf
HCCS	X	protein	intracellular	intracellular	3	FALSE	GO_Intercell, OmniPath, ComPPI, UniProt	FALSE	NA
HCFC1	X	protein	extracellular, intracellular	extracellular, intracellular	3	FALSE	OmniPath, LOCATE, ComPPI, UniProt, GO_Intercell	TRUE	CollecTRI;TRRUST_CollecTRI;GOA_CollecTRI;NTNU.Curated_CollecTRI
HCFC1R1	16	protein	intracellular	intracellular	3	FALSE	UniProt, GO_Intercell, OmniPath, ComPPI	FALSE	NA
HCFC2	12	protein	intracellular, ligand, secreted	intracellular, ligand, secreted	3	FALSE	UniProt, Matrisome, ComPPI, OmniPath, GO_Intercell	FALSE	NA
HCK	20	protein	intracellular, receptor	intracellular, receptor	3	FALSE	ComPPI, scConnect, GO_Intercell, LOCATE, OmniPath, UniProt	FALSE	NA
HCLS1	3	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, UniProt, OmniPath	FALSE	NA
HCN1	5	protein	transporter, ion_channel, peripheral, transmembrane, plasma_membrane, voltage_gated, receptor, intracellular, cyclic_nucleotide_gated	transporter, ion_channel, peripheral, transmembrane_predicted, plasma_membrane, transmembrane, receptor, intracellular	5	TRUE	OmniPath, Almen2009, UniProt, Phobius, scConnect, HGNC, Ramilowski_location, LOCATE, DGIdb	FALSE	NA
HCN2	19	protein	transmembrane, plasma_membrane, intracellular, cyclic_nucleotide_gated, receptor, peripheral, ion_channel, voltage_gated, transporter	transmembrane_predicted, transmembrane, plasma_membrane, intracellular, ion_channel, receptor, peripheral, transporter	6	TRUE	Phobius, Ramilowski_location, OmniPath, UniProt, LOCATE, Almen2009, DGIdb, HGNC, TopDB, scConnect	FALSE	NA
HCN3	1	protein	ion_channel, cyclic_nucleotide_gated, receptor, transmembrane, voltage_gated, transmembrane_predicted, peripheral, plasma_membrane, transporter, transmembrane_tmhmm	ion_channel, receptor, transmembrane, transmembrane_predicted, peripheral, plasma_membrane, transporter	5	TRUE	DGIdb, Almen2009, HGNC, scConnect, OmniPath, Phobius, UniProt, Ramilowski_location	FALSE	NA
HCN4	15	protein	transmembrane, intracellular, cyclic_nucleotide_gated, voltage_gated, ion_channel, plasma_membrane, peripheral, receptor, transporter	transmembrane_predicted, intracellular, ion_channel, plasma_membrane, peripheral, transmembrane, receptor, transporter	6	TRUE	Phobius, OmniPath, Almen2009, ComPPI, HGNC, UniProt, DGIdb, scConnect, LOCATE, TopDB, Ramilowski_location, GO_Intercell	FALSE	NA
HCRT	17	protein	intracellular, ligand, extracellular, secreted	intracellular, ligand, extracellular, secreted	15	FALSE	UniProt, EMBRACE, OmniPath, HPMR, Cellinker, CellPhoneDB, connectomeDB2020, Ramilowski2015, iTALK, Kirouac2010, scConnect, LRdb, CellTalkDB, GO_Intercell, ComPPI, CellChatDB, HPA_secretome, Guide2Pharma, talklr	FALSE	NA
HCRTR1	1	protein	seven_transmembrane_7tm, rhodopsin, receptor, intracellular, cell_surface, neuropeptidey_tachykinin_orexin_pancreatic_peptide_7tm_a, class_a_rhodopsin_peptide_orexin, class_a_rhodopsin, gpcr, transmembrane, plasma_membrane_transmembrane, 7tm_a, orexin, plasma_membrane, extracellular, class_a_rhodopsin_peptide	receptor, intracellular, cell_surface, transmembrane, plasma_membrane_transmembrane, plasma_membrane, transmembrane_predicted, extracellular	18	TRUE	HPMR, Surfaceome, LRdb, OmniPath, CellChatDB, connectomeDB2020, Ramilowski2015, GPCRdb, iTALK, Kirouac2010, UniProt, HGNC, OPM, CellCellInteractions, LOCATE, Phobius, GO_Intercell, Almen2009, Cellinker, CellPhoneDB, talklr, DGIdb, scConnect, Ramilowski_location, Guide2Pharma, Baccin2019, CellTalkDB	FALSE	NA
HCRTR2	6	protein	transmembrane, receptor, cell_surface, gpcr, class_a_rhodopsin_peptide, plasma_membrane, plasma_membrane_transmembrane, class_a_rhodopsin_peptide_orexin, extracellular, 7tm_a, class_a_rhodopsin, rhodopsin, neuropeptidey_tachykinin_orexin_pancreatic_peptide_7tm_a, orexin, seven_transmembrane_7tm	transmembrane, receptor, cell_surface, plasma_membrane, transmembrane_predicted, plasma_membrane_transmembrane, extracellular	18	TRUE	UniProt, iTALK, OmniPath, CellCellInteractions, DGIdb, GPCRdb, Guide2Pharma, CellPhoneDB, Phobius, CellTalkDB, HPMR, Surfaceome, connectomeDB2020, Ramilowski2015, EMBRACE, Almen2009, OPM, Baccin2019, talklr, HGNC, Cellinker, GO_Intercell, LRdb, CellChatDB, Ramilowski_location, scConnect	FALSE	NA
HCST	19	protein	transmembrane, cell_surface_ligand, plasma_membrane_transmembrane, plasma_membrane, intracellular, receptor, adhesion, cell_adhesion	transmembrane, cell_surface_ligand, plasma_membrane_transmembrane, plasma_membrane, intracellular, transmembrane_predicted, receptor, adhesion, cell_adhesion	5	TRUE	UniProt, OmniPath, Membranome, Cellinker, Ramilowski_location, CellPhoneDB, GO_Intercell, LOCATE, Phobius, CellCellInteractions	FALSE	NA
HDAC1	1	protein	receptor, intracellular	receptor, intracellular	3	FALSE	OmniPath, LOCATE, UniProt, GO_Intercell, ComPPI, scConnect	TRUE	CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI;SIGNOR;GOA_CollecTRI;TFactS_CollecTRI;IntAct_CollecTRI;NTNU.Curated_CollecTRI;KEGG-MEDICUS
HDAC10	22	protein	intracellular, transmembrane, receptor	intracellular, transmembrane, receptor	3	TRUE	GO_Intercell, LOCATE, OmniPath, Ramilowski_location, scConnect, UniProt, ComPPI	FALSE	NA
HDAC11	3	protein	receptor, intracellular	receptor, intracellular	3	FALSE	scConnect, GO_Intercell, OmniPath, UniProt, LOCATE, ComPPI	FALSE	NA
HDAC2	6	protein	intracellular, receptor	intracellular, receptor	3	FALSE	UniProt, OmniPath, GO_Intercell, scConnect, LOCATE, ComPPI	TRUE	ENCODE-distal;ENCODE-proximal;SIGNOR;KEGG-MEDICUS
HDAC3	5	protein	receptor, intracellular	receptor, intracellular	3	FALSE	OmniPath, GO_Intercell, scConnect, UniProt, ComPPI, LOCATE	TRUE	CollecTRI;TRRUST_CollecTRI;IntAct_CollecTRI;SIGNOR;SIGNOR_CollecTRI;NTNU.Curated_CollecTRI
HDAC4	2	protein	receptor, intracellular	receptor, intracellular	3	FALSE	OmniPath, scConnect, LOCATE, UniProt, GO_Intercell, ComPPI	TRUE	CollecTRI;TRRUST_CollecTRI;NTNU.Curated_CollecTRI;SIGNOR_CollecTRI
HDAC5	17	protein	receptor, intracellular	receptor, intracellular	3	FALSE	scConnect, ComPPI, OmniPath, UniProt, GO_Intercell, LOCATE	TRUE	CollecTRI;TRRUST_CollecTRI;GOA_CollecTRI
HDAC6	X	protein	intracellular, receptor	intracellular, receptor	3	FALSE	OmniPath, LOCATE, UniProt, GO_Intercell, ComPPI, scConnect	FALSE	NA
HDAC7	12	protein	intracellular, receptor	intracellular, receptor	3	FALSE	ComPPI, OmniPath, UniProt, scConnect, GO_Intercell, LOCATE	TRUE	CollecTRI;TRRUST_CollecTRI
HDAC8	X	protein	intracellular, receptor	intracellular, receptor	3	FALSE	GO_Intercell, OmniPath, LOCATE, ComPPI, scConnect, UniProt	TRUE	ENCODE-distal
HDAC9	7	protein	intracellular, receptor	intracellular, receptor	3	FALSE	UniProt, ComPPI, OmniPath, GO_Intercell, scConnect, LOCATE	TRUE	CollecTRI;TRRUST_CollecTRI;GOA_CollecTRI
HDC	15	protein	receptor, extracellular, secreted, intracellular, small_molecule_ligand_synthase, intracellular_intercellular_related	receptor, extracellular, secreted, intracellular, intracellular_intercellular_related	2	FALSE	scConnect, HPMR, OmniPath, Cellinker, GO_Intercell, ComPPI, LOCATE	FALSE	NA
HDDC2	6	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	FALSE	NA
HDDC3	15	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	FALSE	NA
HDGF	1	protein	secreted, intracellular, extracellular, growth_factor, ligand, hdgf	secreted, intracellular, extracellular, ligand	3	FALSE	UniProt, LOCATE, OmniPath, GO_Intercell, DGIdb, ComPPI	TRUE	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI;NTNU.Curated_CollecTRI
HDGFL1	6	protein	intracellular	intracellular	1	FALSE	OmniPath, GO_Intercell	FALSE	NA
HDGFL2	19	protein	intracellular	intracellular	3	FALSE	OmniPath, GO_Intercell, UniProt, ComPPI, LOCATE	FALSE	NA
HDGFL3	15	protein	intracellular, ligand, growth_factor	intracellular, ligand	3	FALSE	ComPPI, UniProt, LOCATE, OmniPath, DGIdb, GO_Intercell	FALSE	NA
HDHD2	18	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI, LOCATE	FALSE	NA
HDHD3	9	protein	intracellular	intracellular	2	FALSE	ComPPI, GO_Intercell, OmniPath	FALSE	NA
HDHD5	22	protein	intracellular	intracellular	2	FALSE	ComPPI, GO_Intercell, OmniPath	FALSE	NA
HDLBP	2	protein	intracellular	intracellular	3	FALSE	GO_Intercell, OmniPath, UniProt, ComPPI	TRUE	SIGNOR
HDX	X	protein	intracellular	intracellular	3	FALSE	OmniPath, UniProt, ComPPI, GO_Intercell	FALSE	NA
HEATR1	1	protein	intracellular, transmembrane	intracellular, transmembrane	3	TRUE	UniProt, OmniPath, Ramilowski_location, ComPPI, GO_Intercell	FALSE	NA
HEATR3	16	protein	intracellular, transmembrane	intracellular, transmembrane	2	TRUE	GO_Intercell, Ramilowski_location, OmniPath, ComPPI	FALSE	NA
HEATR4	14	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	FALSE	NA
HEATR5A	14	protein	intracellular, transmembrane	intracellular, transmembrane_predicted, transmembrane	2	TRUE	OmniPath, ComPPI, Phobius, GO_Intercell, Ramilowski_location	FALSE	NA
HEATR5B	2	protein	intracellular, transmembrane	intracellular, transmembrane	3	TRUE	UniProt, OmniPath, GO_Intercell, Ramilowski_location, ComPPI	FALSE	NA
HEATR6	17	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	FALSE	NA
HEBP1	12	protein	intracellular, transmembrane, secreted, cell_surface_ligand	intracellular, transmembrane, secreted, cell_surface_ligand	3	TRUE	ComPPI, CellPhoneDB, OmniPath, UniProt, GO_Intercell, connectomeDB2020	FALSE	NA
HEBP2	6	protein	intracellular	intracellular	3	FALSE	GO_Intercell, OmniPath, ComPPI, UniProt, LOCATE	FALSE	NA
HECA	6	protein	intracellular	intracellular	2	FALSE	OmniPath, ComPPI, GO_Intercell	FALSE	NA
HECTD1	14	protein	intracellular	intracellular	2	FALSE	ComPPI, OmniPath, GO_Intercell	FALSE	NA
HECTD2	10	protein	intracellular	intracellular	2	FALSE	ComPPI, OmniPath, GO_Intercell	FALSE	NA
HECTD3	1	protein	intracellular	intracellular	3	FALSE	ComPPI, UniProt, OmniPath, GO_Intercell	FALSE	NA
HECTD4	12	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	4	TRUE	OmniPath, UniProt, Ramilowski_location, ComPPI, Phobius	FALSE	NA
HECW1	7	protein	intracellular	intracellular	3	FALSE	ComPPI, OmniPath, UniProt, GO_Intercell, LOCATE	FALSE	NA
HECW2	2	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, UniProt, OmniPath	FALSE	NA
HEG1	3	protein	transmembrane, intracellular, plasma_membrane, plasma_membrane_transmembrane, transmembrane_sosui, transmembrane_predicted, extracellular, transmembrane_phobius, cell_surface, secreted, transmembrane_tmhmm	transmembrane_predicted, intracellular, plasma_membrane, plasma_membrane_transmembrane, transmembrane, extracellular, cell_surface, secreted	6	TRUE	Phobius, GO_Intercell, OmniPath, UniProt, CSPA, Ramilowski_location, Almen2009, TopDB, Membranome, Surfaceome, ComPPI, DGIdb	FALSE	NA
HELB	12	protein	intracellular	intracellular	3	FALSE	UniProt, GO_Intercell, ComPPI, OmniPath	FALSE	NA
HELLS	10	protein	intracellular	intracellular	3	FALSE	ComPPI, UniProt, OmniPath, GO_Intercell	FALSE	NA
HELQ	4	protein	intracellular, transmembrane	intracellular, transmembrane	3	TRUE	OmniPath, UniProt, ComPPI, LOCATE, Ramilowski_location, GO_Intercell	FALSE	NA
HELT	4	protein	transmembrane, intracellular	transmembrane, intracellular	3	TRUE	OmniPath, ComPPI, Ramilowski_location, GO_Intercell, UniProt	FALSE	NA
HELZ	17	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, OmniPath, UniProt	FALSE	NA
HELZ2	20	protein	intracellular	intracellular	3	FALSE	UniProt, GO_Intercell, ComPPI, OmniPath	FALSE	NA
HEMGN	9	protein	intracellular	intracellular	3	FALSE	UniProt, OmniPath, ComPPI, GO_Intercell	FALSE	NA
HEMK1	3	protein	intracellular	intracellular	3	FALSE	UniProt, ComPPI, GO_Intercell, OmniPath	FALSE	NA
HENMT1	1	protein	intracellular	intracellular	3	FALSE	OmniPath, ComPPI, GO_Intercell, UniProt	FALSE	NA
HEPACAM	11	protein	plasma_membrane_transmembrane, transmembrane, transmembrane_phobius, intracellular, icam, cell_adhesion, cell_surface, matrix_adhesion, transmembrane_tmhmm, adhesion, transmembrane_predicted, transmembrane_sosui	plasma_membrane_transmembrane, transmembrane, transmembrane_predicted, intracellular, cell_adhesion, cell_surface, adhesion	5	TRUE	CSPA, Ramilowski_location, Almen2009, ComPPI, Zhong2015, OmniPath, UniProt, Surfaceome, Membranome, Phobius, GO_Intercell	FALSE	NA
HEPACAM2	7	protein	cell_surface, transmembrane_predicted, plasma_membrane_transmembrane, transmembrane_tmhmm, extracellular, intracellular, transmembrane, transmembrane_phobius	cell_surface, transmembrane, plasma_membrane_transmembrane, transmembrane_predicted, extracellular, intracellular	5	TRUE	OmniPath, CSPA, Almen2009, ComPPI, Surfaceome, UniProt, GO_Intercell, Phobius, Ramilowski_location	FALSE	NA
HEPH	X	protein	plasma_membrane_transmembrane, transmembrane, intracellular, plasma_membrane, cell_surface, basolateral_cell_membrane	plasma_membrane_transmembrane, transmembrane, intracellular, plasma_membrane, transmembrane_predicted, cell_surface	6	TRUE	Membranome, UniProt, OmniPath, GO_Intercell, LOCATE, Ramilowski_location, Phobius, Surfaceome, ComPPI, TopDB	FALSE	NA
HEPHL1	11	protein	cell_surface, transmembrane_sosui, transmembrane, plasma_membrane_transmembrane, transmembrane_tmhmm, transmembrane_phobius, transmembrane_predicted	cell_surface, transmembrane_predicted, transmembrane, plasma_membrane_transmembrane	5	TRUE	Surfaceome, Almen2009, UniProt, Phobius, Membranome, OmniPath, Ramilowski_location	FALSE	NA
HERC1	15	protein	intracellular, transmembrane	intracellular, transmembrane	3	TRUE	LOCATE, GO_Intercell, OmniPath, UniProt, ComPPI, Ramilowski_location	FALSE	NA
HERC2	15	protein	intracellular	intracellular	3	FALSE	UniProt, GO_Intercell, ComPPI, OmniPath	FALSE	NA
HERC3	4	protein	transmembrane, intracellular	transmembrane, intracellular	3	TRUE	OmniPath, LOCATE, GO_Intercell, UniProt, Ramilowski_location, ComPPI	FALSE	NA
HERC4	10	protein	transmembrane_sosui, intracellular, transmembrane, transmembrane_predicted, transmembrane_phobius	transmembrane_predicted, intracellular, transmembrane	3	TRUE	Almen2009, ComPPI, LOCATE, OmniPath, UniProt, Phobius, Ramilowski_location, GO_Intercell	FALSE	NA
HERC6	4	protein	intracellular, transmembrane	intracellular, transmembrane_predicted, transmembrane	3	TRUE	GO_Intercell, UniProt, Phobius, Ramilowski_location, LOCATE, ComPPI, OmniPath	FALSE	NA
HERPUD1	16	protein	intracellular, transmembrane, transmembrane_sosui, transmembrane_predicted	intracellular, transmembrane, transmembrane_predicted	7	TRUE	ComPPI, UniProt, Almen2009, OmniPath, TopDB, LOCATE, Phobius, Ramilowski_location, GO_Intercell	FALSE	NA
HERPUD2	7	protein	transmembrane_predicted, transmembrane, transmembrane_tmhmm, transmembrane_phobius, intracellular	transmembrane, transmembrane_predicted, intracellular	5	TRUE	OmniPath, UniProt, Almen2009, Ramilowski_location, ComPPI, Phobius	FALSE	NA
HES1	3	protein	intracellular	intracellular	3	FALSE	GO_Intercell, OmniPath, UniProt, ComPPI	TRUE	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;SIGNOR_CollecTRI;DoRothEA;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;JASPAR_DoRothEA;Pavlidis2021_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA;GEREDB_CollecTRI;TFactS_CollecTRI;TFactS_DoRothEA;GOA_CollecTRI;SIGNOR
HES2	1	protein	intracellular	intracellular	2	FALSE	OmniPath, GO_Intercell, UniProt	FALSE	NA
HES3	1	protein	intracellular	intracellular	2	FALSE	UniProt, GO_Intercell, OmniPath	TRUE	CollecTRI;GEREDB_CollecTRI
HES5	1	protein	intracellular	intracellular	3	FALSE	OmniPath, GO_Intercell, UniProt, ComPPI	TRUE	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;SIGNOR_CollecTRI;Pavlidis2021_CollecTRI
HES6	2	protein	intracellular	intracellular	3	FALSE	UniProt, GO_Intercell, OmniPath, ComPPI	TRUE	CollecTRI;ExTRI_CollecTRI;DoRothEA;GEREDB_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA;NTNU.Curated_CollecTRI;SIGNOR_CollecTRI
HES7	17	protein	intracellular	intracellular	3	FALSE	GO_Intercell, OmniPath, UniProt, ComPPI	TRUE	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI
HESX1	3	protein	intracellular	intracellular	3	FALSE	UniProt, LOCATE, OmniPath, GO_Intercell, ComPPI	TRUE	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;GEREDB_CollecTRI
HEXA	15	protein	intracellular	intracellular	3	FALSE	UniProt, GO_Intercell, OmniPath, ComPPI, LOCATE	FALSE	NA
HEXB	5	protein	intracellular, transmembrane	intracellular, transmembrane	3	TRUE	OmniPath, UniProt, GO_Intercell, LOCATE, ComPPI	FALSE	NA
HEXD	17	protein	intracellular	intracellular	3	FALSE	ComPPI, OmniPath, UniProt, GO_Intercell	FALSE	NA
HEXIM1	17	protein	plasma_membrane_transmembrane, seven_transmembrane_7tm, intracellular, extracellular, receptor, cell_surface, 7tm_a, lysosphingolipid_lysophosphatidic_acid_edg_7tm_a	plasma_membrane_transmembrane, receptor, intracellular, extracellular, cell_surface	3	TRUE	HPMR, ComPPI, OmniPath, UniProt, LOCATE, GO_Intercell	FALSE	NA
HEXIM2	17	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, UniProt, OmniPath	FALSE	NA
HEY1	8	protein	intracellular	intracellular	3	FALSE	ComPPI, UniProt, LOCATE, GO_Intercell, OmniPath	TRUE	CollecTRI;ExTRI_CollecTRI;SIGNOR_CollecTRI;DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA;ARACNe-GTEx_DoRothEA;GEREDB_CollecTRI;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;NTNU.Curated_CollecTRI;Pavlidis2021_CollecTRI;ENCODE-distal
HEY2	6	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, OmniPath, UniProt, LOCATE	TRUE	CollecTRI;ExTRI_CollecTRI;ARACNe-GTEx_DoRothEA;DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA;GOA_CollecTRI;GEREDB_CollecTRI
HEYL	1	protein	intracellular	intracellular	3	FALSE	GO_Intercell, OmniPath, ComPPI, UniProt	TRUE	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA;GEREDB_CollecTRI
HFE	6	protein	extracellular, plasma_membrane, plasma_membrane_transmembrane, transmembrane, cell_surface_ligand, intracellular, transmembrane_tmhmm, transmembrane_phobius, transmembrane_sosui, cell_surface, transmembrane_predicted	extracellular, plasma_membrane, plasma_membrane_transmembrane, transmembrane, cell_surface_ligand, transmembrane_predicted, intracellular, cell_surface	7	TRUE	DGIdb, UniProt, CSPA, OmniPath, LOCATE, HPMR, CellPhoneDB, Phobius, TopDB, GO_Intercell, Membranome, Almen2009, Ramilowski_location, Surfaceome, ComPPI	FALSE	NA
HFM1	1	protein	intracellular	intracellular	2	FALSE	ComPPI, GO_Intercell, OmniPath	FALSE	NA
HGD	3	protein	intracellular	intracellular	2	FALSE	OmniPath, ComPPI, GO_Intercell	FALSE	NA
HGF	7	protein	secreted, ligand, growth_factor, extracellular, intracellular, growthfactor	secreted, ligand, extracellular, intracellular	19	FALSE	OmniPath, Guide2Pharma, DGIdb, iTALK, CellPhoneDB, Baccin2019, ICELLNET, UniProt, connectomeDB2020, EMBRACE, LOCATE, GO_Intercell, scConnect, SignaLink_function, LRdb, ComPPI, talklr, HPA_secretome, Matrisome, Cellinker, CellCall, CellChatDB, CellTalkDB, Ramilowski2015	FALSE	NA
HGFAC	4	protein	ligand, secreted, extracellular, intracellular	ligand, secreted, extracellular, intracellular	4	FALSE	Matrisome, UniProt, OmniPath, LOCATE, HPA_secretome, GO_Intercell	FALSE	NA
HGH1	8	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	FALSE	NA
HGS	17	protein	intracellular	intracellular	3	FALSE	ComPPI, OmniPath, UniProt, GO_Intercell	FALSE	NA
HGSNAT	8	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	5	TRUE	UniProt, GO_Intercell, Ramilowski_location, TopDB, Phobius, OmniPath	FALSE	NA
HHAT	1	protein	transmembrane, intracellular, peripheral	transmembrane, intracellular, peripheral, transmembrane_predicted	4	TRUE	UniProt, Ramilowski_location, OmniPath, GO_Intercell, Phobius	FALSE	NA
HHATL	3	protein	transmembrane, intracellular	transmembrane_predicted, transmembrane, intracellular	5	TRUE	Phobius, UniProt, GO_Intercell, OmniPath, Ramilowski_location, ComPPI, LOCATE	FALSE	NA
HHIP	4	protein	receptor, secreted, plasma_membrane, intracellular, cell_adhesion, extracellular, ligand, receptor_regulator, transferrin, adhesion, cell_surface, inhibitory_cofactor, cell_surface_ligand, other_receptor_family	receptor, secreted, plasma_membrane, intracellular, cell_adhesion, extracellular, ligand, receptor_regulator, adhesion, cell_surface, cell_surface_ligand	11	TRUE	Cellinker, Matrisome, connectomeDB2020, GO_Intercell, UniProt, OmniPath, HPMR, iTALK, EMBRACE, CellPhoneDB, LRdb, CellChatDB, CellTalkDB, talklr, HPA_secretome, Baccin2019, Ramilowski2015, ComPPI	FALSE	NA
HHIPL1	14	protein	secreted, secreted_enzyme, scavenger_receptor_cysteine_rich	secreted, secreted_enzyme	3	FALSE	OmniPath, UniProt, HPA_secretome	FALSE	NA
HHIPL2	1	protein	intracellular, secreted	intracellular, secreted	3	FALSE	ComPPI, HPA_secretome, OmniPath, UniProt	FALSE	NA
HHLA1	8	protein	secreted	secreted	3	FALSE	UniProt, OmniPath, HPA_secretome	FALSE	NA
HIBADH	7	protein	intracellular	intracellular	3	FALSE	ComPPI, OmniPath, UniProt, GO_Intercell, LOCATE	FALSE	NA
HIBCH	2	protein	intracellular	intracellular	3	FALSE	ComPPI, OmniPath, UniProt, GO_Intercell	FALSE	NA
HIC1	17	protein	intracellular	intracellular	3	FALSE	OmniPath, GO_Intercell, LOCATE, ComPPI, UniProt	TRUE	CollecTRI;ExTRI_CollecTRI;DoRothEA;GEREDB_CollecTRI;SIGNOR_CollecTRI;TFe_DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA;NTNU.Curated_CollecTRI;ARACNe-GTEx_DoRothEA;HOCOMOCO_DoRothEA
HIC2	22	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, OmniPath, UniProt, LOCATE	FALSE	NA
HID1	17	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	3	TRUE	GO_Intercell, ComPPI, Ramilowski_location, OmniPath, UniProt, Phobius	FALSE	NA
HIF1A	14	protein	intracellular	intracellular	3	FALSE	OmniPath, LOCATE, UniProt, ComPPI, GO_Intercell	TRUE	CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;PAZAR_DoRothEA;Pavlidis2021_CollecTRI;RegNetwork_DoRothEA;SIGNOR;SIGNOR_CollecTRI;TFe_DoRothEA;TRED_DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA;HOCOMOCO_DoRothEA;HTRIdb;IntAct_DoRothEA;JASPAR_DoRothEA;KEGG-MEDICUS;TFactS_CollecTRI;TFactS_DoRothEA;ARACNe-GTEx_DoRothEA;FANTOM4_DoRothEA;ReMap_DoRothEA;HTRI_CollecTRI;HTRIdb_DoRothEA;CytReg_CollecTRI;IntAct_CollecTRI;GOA_CollecTRI
HIF1AN	10	protein	intracellular	intracellular	3	FALSE	UniProt, OmniPath, ComPPI, GO_Intercell	FALSE	NA
HIF3A	19	protein	transmembrane_predicted, intracellular, transmembrane_sosui, transmembrane_phobius, transmembrane	transmembrane, intracellular, transmembrane_predicted	3	TRUE	OmniPath, UniProt, Almen2009, LOCATE, ComPPI, GO_Intercell	TRUE	CollecTRI;ExTRI_CollecTRI;DoRothEA;GEREDB_CollecTRI;SIGNOR;SIGNOR_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA;NTNU.Curated_CollecTRI
HIGD1A	3	protein	transmembrane, intracellular, transmembrane_predicted, transmembrane_sosui	transmembrane, intracellular, transmembrane_predicted	7	TRUE	TopDB, UniProt, OmniPath, Ramilowski_location, ComPPI, Phobius, GO_Intercell, LOCATE, Almen2009	FALSE	NA
HIGD1B	17	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	5	TRUE	GO_Intercell, UniProt, Phobius, OmniPath, OPM, Ramilowski_location	FALSE	NA
HIGD1C	12	protein	transmembrane, intracellular	transmembrane, intracellular, transmembrane_predicted	4	TRUE	UniProt, GO_Intercell, OmniPath, Phobius, Ramilowski_location	FALSE	NA
HIGD2A	5	protein	transmembrane, intracellular	transmembrane, intracellular, transmembrane_predicted	4	TRUE	UniProt, ComPPI, OmniPath, Ramilowski_location, GO_Intercell, Phobius	FALSE	NA
HIGD2B	15	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	3	TRUE	ComPPI, UniProt, GO_Intercell, OmniPath, Phobius	FALSE	NA
HIKESHI	11	protein	intracellular	intracellular	3	FALSE	ComPPI, UniProt, OmniPath, GO_Intercell	FALSE	NA
HILPDA	7	protein	transmembrane, transmembrane_phobius, secreted, transmembrane_predicted, intracellular, transmembrane_tmhmm, transmembrane_sosui	transmembrane, transmembrane_predicted, secreted, intracellular	6	TRUE	UniProt, Almen2009, OmniPath, ComPPI, Ramilowski_location, GO_Intercell, TopDB, Phobius	FALSE	NA
HINFP	11	protein	intracellular	intracellular	3	FALSE	LOCATE, GO_Intercell, UniProt, ComPPI, OmniPath	TRUE	CollecTRI;ExTRI_CollecTRI;DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA;NTNU.Curated_CollecTRI
HINT1	5	protein	intracellular	intracellular	3	FALSE	OmniPath, UniProt, LOCATE, ComPPI, GO_Intercell	FALSE	NA
HINT2	9	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, LOCATE, OmniPath, UniProt	FALSE	NA
HINT3	6	protein	intracellular	intracellular	3	FALSE	GO_Intercell, OmniPath, UniProt, ComPPI	FALSE	NA
HIP1	7	protein	intracellular	intracellular	3	FALSE	ComPPI, GO_Intercell, OmniPath, UniProt, LOCATE	FALSE	NA
HIP1R	12	protein	intracellular	intracellular	3	FALSE	GO_Intercell, LOCATE, ComPPI, OmniPath, UniProt	FALSE	NA
